,作答ID,用户ID,用户名,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,请选择你的性别,学校以及学院,年级,选择你所在家乡城市,您大学期间是否进行过兼职（包括实习）（）？,您对兼职的态度：,据您观察，兼职的学生学业受影响的程度如何？,是否考虑过找一份兼职？,您认为寻找兼职的困难可能有-兼职信息太少??,您认为寻找兼职的困难可能有-中介机构收费太高,您认为寻找兼职的困难可能有-担心受骗,您认为寻找兼职的困难可能有-选项难以找到心仪的兼职岗位,您认为寻找兼职的困难可能有-其他,您倾向于哪些类型的兼职？-工资高的兼职,您倾向于哪些类型的兼职？-与专业贴近的兼职,您倾向于哪些类型的兼职？-锻炼个人能力的兼职,您倾向于哪些类型的兼职？-自由度高的兼职,您倾向于哪些类型的兼职？-其他,您倾向于何时兼职?,您预期的兼职月薪是？,您未选择去兼职的原因是？-以学业为重,您未选择去兼职的原因是？-没有时间精力,您未选择去兼职的原因是？-有明确的人生规划,您未选择去兼职的原因是？-认为兼职没有意义，得不到锻炼,您未选择去兼职的原因是？-不了解或不感兴趣,您从事过几份兼职？,您曾从事的兼职的类型是-家教,您曾从事的兼职的类型是-校内助教,您曾从事的兼职的类型是-服务行业（含：餐厅、书店等实体店工作）,您曾从事的兼职的类型是-推销代理,您曾从事的兼职的类型是-企业实习?,您曾从事的兼职的类型是-体力劳动,您曾从事的兼职的类型是-其他兼职,您兼职的主要目的-赚取收入,您兼职的主要目的-锻炼能力,您兼职的主要目的-积累工作经验，为就业做准备,您兼职的主要目的-满足个人爱好（旅行、游戏、恋爱等,您兼职的主要目的-充实业余时间?????,您兼职的主要目的-其他,您获得兼职信息的途径：-线下海报或广告,您获得兼职信息的途径：-专门中介机构,您获得兼职信息的途径：-老师或同学介绍,您获得兼职信息的途径：-网络信息?,您获得兼职信息的途径：-主动向招聘方询问,您获得兼职信息的途径：-其他,您倾向于何时兼职?.1,您当时的兼职月薪是？,本题检测是否认真作答，你如何看待大学生就业形势,您有过哪些被骗经历-网络兼职陷阱（刷单、打字、APP试玩点赞等）,您有过哪些被骗经历-中介坑骗,您有过哪些被骗经历-虚假招聘信息,您有过哪些被骗经历-拖欠工资,您有过哪些被骗经历-其他方式被骗,您有过哪些被骗经历-无被骗经历,您受骗后采取的措施是什么,通过兼职您有哪些收获-专业水平,通过兼职您有哪些收获-常用技能,通过兼职您有哪些收获-沟通交流,通过兼职您有哪些收获-人情世故,通过兼职您有哪些收获-忍耐毅力,通过兼职您有哪些收获-职场经验,通过兼职您有哪些收获-其他收获,您的父母对于兼职的态度是什么样的？,校内与校外兼职，您倾向于哪个？,您在寻找校内兼职过程中遇到的困难有？-校内兼职机会少,您在寻找校内兼职过程中遇到的困难有？-校内兼职信息闭塞,您在寻找校内兼职过程中遇到的困难有？-校内兼职报酬低,您在寻找校内兼职过程中遇到的困难有？-没有心仪的兼职岗位,您在寻找校内兼职过程中遇到的困难有？-其他,校园内服务性兼职和科研或助教岗位您倾向于哪一个,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职机会少,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职信息闭塞,11.3您在寻找校外兼职过程中遇到的困难有？-校外兼职报酬低,11.3您在寻找校外兼职过程中遇到的困难有？-没有心仪的兼职岗位,11.3您在寻找校外兼职过程中遇到的困难有？-距离、时间等原因,11.3您在寻找校外兼职过程中遇到的困难有？-其他,校园外兼职岗位您倾向于哪一个,是否进行过或者准备进行企业实习？,您获取实习招聘信息的主要途径？（选1?3个）-学校推荐,您获取实习招聘信息的主要途径？（选1?3个）-自己找中介,您获取实习招聘信息的主要途径？（选1?3个）-学姐学长内推,您获取实习招聘信息的主要途径？（选1?3个）-教育机构内推,您获取实习招聘信息的主要途径？（选1?3个）-自己关注企业招聘信息,您获取实习招聘信息的主要途径？（选1?3个）-其他,您的实习时间是多久呢？,对于实习选择来讲，什么是您最看重的呢？,您实习的地点在？,您做实习工作与您的专业相关性是？,您认为您的实习的时间一般多久为宜呢？,对于实习来讲，什么是您相对看重的呢？？,您实习的地点更看重什么呢？,您希望您的实习工作与您的专业相关性是？,您觉得兼职对学业的影响程度是？,经历过兼职之后您对兼职的态度是？,您认为在您从事兼职的过程中受到的待遇是否公平？,您遇到过哪些不公平现象？-分配不均,您遇到过哪些不公平现象？-专业质疑,您遇到过哪些不公平现象？-抢功背锅,您遇到过哪些不公平现象？-加班压榨,您遇到过哪些不公平现象？-刁难排挤???,您遇到过哪些不公平现象？-其他不公平现象,您遇到的兼职单位对大学生有些哪要求-性别要求,您遇到的兼职单位对大学生有些哪要求-专业要求,您遇到的兼职单位对大学生有些哪要求-技能要求?,您遇到的兼职单位对大学生有些哪要求-院校要求,您遇到的兼职单位对大学生有些哪要求-地区要求,您遇到的兼职单位对大学生有些哪要求-民族要求,您遇到的兼职单位对大学生有些哪要求-外貌要求,您遇到的兼职单位对大学生有些哪要求-其他要求,您认为兼职对以后的职业选择是否有帮助？,兼职后，对于以后职业选择的方向是,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-提供很多兼职信息??,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-设立了专门机构，规范校内外兼职招聘市场?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-帮助学生维护合法权益?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-提供许多校内的兼职岗位,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-帮忙联系实习单位?,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-不了解,您认为您所在学校针对学生兼职问题 在以下哪些方面做的比较好？-其他,在您看来，您的大学着重培养学生哪些方面的能力？-逻辑思维,在您看来，您的大学着重培养学生哪些方面的能力？-提升眼界,在您看来，您的大学着重培养学生哪些方面的能力？-专业知识,在您看来，您的大学着重培养学生哪些方面的能力？-专业技能应用,在您看来，您的大学着重培养学生哪些方面的能力？-德智体美劳全面发展,在您看来，您的大学着重培养学生哪些方面的能力？-其他能力,在您看来，招聘单位通常更青睐具备哪些特点的人才？-专业理论扎实,在您看来，招聘单位通常更青睐具备哪些特点的人才？-专业技能丰富,在您看来，招聘单位通常更青睐具备哪些特点的人才？-涉猎专业多元,在您看来，招聘单位通常更青睐具备哪些特点的人才？-较强的应变能力,您对未来工作的期望：
83,eyPbwRVL,oe4AO21M,cdm****fPFKc,2022-2-17 12:34,2022-2-17 12:37,167,1,NriUJr,大学生兼职调查,27.157.16.194,116.963831,24.101788,福建省,4,MOBILE,Android,Chrome,360px*720px,,女,2,3,福建省，漳州市,是,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,工作日,1001?2000元,非常不满意,1,0,1,1,0,0,忍气吞声，自认倒霉,1,1,1,1,1,0,0,1,校内,1,1,1,0,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,一到二个月,实习条件和薪资待遇,学校所在城市,密切密切,5,7,存在较少不公平现象,,,,,,,1,1,1,1,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,有归属感和社交（单位氛围暖心，与同事关系融洽）
84,7KvOzJ6M,ve8gbjBL,z*c,2022-2-17 12:27,2022-2-17 12:35,527,1,NriUJr,大学生兼职调查,101.87.170.135,121.478223,31.228357,上海市,1,COMPUTER,Windows,Chrome,1920px*1080px,,女,1,4,辽宁省，铁岭市,是,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,工作日,1001?2000元,非常不满意,0,0,0,0,0,1,,1,0,1,1,0,1,0,1,校外,,,,,,,1,1,0,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,进行过,1,0,1,0,1,0,四到六个月,与专业的相关性,学校所在城市,密切密切,,,,,7,7,存在较少不公平现象,,,,,,,0,1,1,1,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,满足安全需要（工作稳定，很少有焦虑）
85,ev9lYmxL,veER4G6M,宝**的海,2022-2-17 12:26,2022-2-17 12:33,421,1,NriUJr,大学生兼职调查,223.104.105.52,112.432683,34.685526,河南省,4,MOBILE,Android,weixin,360px*760px,,女,2,4,河南省，洛阳市,是,,,,,,,,,,,,,,,,,,,,,6,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,寒暑假,1001?2000元,非常不满意,0,0,0,0,0,1,,0,1,1,1,1,0,0,1,校外,,,,,,,1,1,1,1,0,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,一个月,实习条件和薪资待遇,一线城市,较多联系,4,5,存在较少不公平现象,,,,,,,1,0,1,0,0,0,0,1,有一点帮助,正式职业之外可以继续保持该兼职,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
86,7qXd50pM,p7YNkwWL,cdm****TKZn6,2022-2-17 12:27,2022-2-17 12:31,263,1,NriUJr,大学生兼职调查,61.181.236.231,117.182134,39.106465,天津市,1,MOBILE,Android,Chrome,360px*760px,,女,1,8,甘肃省，武威市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,周末,501-1000元,非常不满意,0,0,0,0,0,1,,0,0,0,0,0,0,1,1,校内,1,1,1,1,0,助教、科研、实验室助手等?,,,,,,,,暂时没有打算,,,,,,,,,,,,,,,6,7,存在较少不公平现象,,,,,,,1,0,0,0,0,0,1,0,基本没有帮助,,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,满足自我实现需要（激发潜能，实现自己的价值）
87,7XAkz3jL,neP4ZmNe,缸,2022-2-17 12:27,2022-2-17 12:31,194,1,NriUJr,大学生兼职调查,120.230.128.143,113.26059,23.1337,广东省,1,MOBILE,Android,Chrome,393px*873px,,女,1,3,广东省，广州市,是,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,寒暑假,2001-3000 元,非常不满意,0,0,0,0,0,1,,0,0,1,0,1,0,0,0,校外,,,,,,,0,0,1,0,1,0,时间短暂来钱快上手快的兼职,准备进行,,,,,,,,,,,四到六个月,与专业的相关性,家乡城市,较多联系,5,5,存在较少不公平现象,,,,,,,1,0,0,0,0,0,1,0,基本没有帮助,,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,满足基本生活需要（满足日常基本的衣食住行和睡眠）
88,7YpQzKwM,pLzl2B5M,超*??,2022-2-17 12:28,2022-2-17 12:30,176,1,NriUJr,大学生兼职调查,117.136.27.204,103.816212,36.155319,甘肃省,3,MOBILE,Android,weixin,360px*800px,,女,1,3,甘肃省，兰州市,是,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,周末,501-1000元,非常不满意,1,0,0,0,1,0,向相关部门投诉,0,0,1,1,0,0,1,0,校外,,,,,,,1,0,1,0,1,0,时间短暂来钱快上手快的兼职,暂时没有打算,,,,,,,,,,,,,,,4,5,公平,,,,,,,1,1,0,1,0,0,1,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,满足自我实现需要（激发潜能，实现自己的价值）
89,ebqmwKdL,WLG4Xkpe,ys***0196,2022-2-17 12:27,2022-2-17 12:32,336,1,NriUJr,大学生兼职调查,111.35.51.158,119.93549,37.29578,山东省,3,MOBILE,Android,Chrome,360px*780px,,女,2,7,山东省，烟台市,是,,,,,,,,,,,,,,,,,,,,,6,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,节假日,500元及以下,非常不满意,0,0,1,0,0,0,忍气吞声，自认倒霉,0,0,1,0,1,0,0,1,校外,,,,,,,0,1,1,0,1,0,时间短暂来钱快上手快的兼职,进行过,1,0,1,0,1,0,一到二个月,实习条件和薪资待遇,其他城市,密切密切,,,,,6,4,存在较少不公平现象,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
90,M9X0Pjze,aMgOb2yM,cdm****kgX2X,2022-2-17 12:25,2022-2-17 12:28,172,1,NriUJr,大学生兼职调查,123.152.221.49,121.65305,29.828562,浙江省,2,MOBILE,Android,weixin,360px*800px,,女,3,1,浙江省，台州市,是,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,寒暑假,1001?2000元,非常不满意,0,0,0,0,1,0,忍气吞声，自认倒霉,0,1,0,1,1,0,0,1,校外,,,,,,,0,0,0,1,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,一到二个月,实习条件和薪资待遇,学校所在城市,较多联系,5,5,存在较少不公平现象,,,,,,,1,1,1,0,0,0,1,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,满足安全需要（工作稳定，很少有焦虑）
91,L0mD9y0e,o7jRrkm7,cdm****lthuU,2022-2-17 12:25,2022-2-17 12:28,199,1,NriUJr,大学生兼职调查,171.34.214.0,115.984233,28.635188,江西省,3,MOBILE,Android,weixin,360px*800px,,女,3,2,江西省，南昌市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,寒暑假,2001-3000 元,非常不满意,0,0,0,0,0,1,,1,1,1,0,0,0,0,1,校外,,,,,,,0,0,0,1,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,二到四个月,与专业的相关性,家乡城市,密切密切,6,6,公平,,,,,,,0,1,1,0,0,0,0,0,很有帮助,正式职业之外可以继续保持该兼职,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,满足自我实现需要（激发潜能，实现自己的价值）
92,7AxO9aQM,yevkAXM9,cdm****ZTVUp,2022-2-17 12:19,2022-2-17 12:22,199,1,NriUJr,大学生兼职调查,39.184.14.223,121.208114,29.053324,浙江省,3,MOBILE,iOS,Apple WebKit,414px*896px,,男,3,2,浙江省，台州市,是,,,,,,,,,,,,,,,,,,,,,6,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,寒暑假,2001-3000 元,非常不满意,0,0,0,0,0,1,,0,1,1,0,1,0,0,1,校外,,,,,,,1,0,1,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,二到四个月,与专业的相关性,家乡城市,较多联系,5,6,存在较少不公平现象,,,,,,,0,1,1,0,0,0,0,0,很有帮助,正式职业不会选择绝大多数做过的兼职,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,满足基本生活需要（满足日常基本的衣食住行和睡眠）
93,LOyOz6xM,27aQpzN7,暗*璇玑,2022-2-17 12:17,2022-2-17 12:21,270,1,NriUJr,大学生兼职调查,117.185.148.230,121.427832,31.128666,上海市,1,MOBILE,Android,Chrome,360px*800px,,女,2,4,上海市，市辖区,是,,,,,,,,,,,,,,,,,,,,,6,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,寒暑假,3001?5000元,非常不满意,0,0,0,0,0,1,,1,1,1,1,0,1,0,1,校外,,,,,,,0,1,0,1,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,二到四个月,公司层次和品牌形象,一线城市,较多联系,5,6,公平,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业希望继续从事兼职做过的职业,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,满足安全需要（工作稳定，很少有焦虑）
94,e4BA94a7,VMJO3zd7,cdm****JYZqt,2022-2-17 12:16,2022-2-17 12:21,298,1,NriUJr,大学生兼职调查,183.188.192.232,111.82654,38.90977,山西省,6,MOBILE,Android,Chrome,393px*873px,,女,1,4,山西省，忻州市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,周末,501-1000元,非常不满意,0,0,0,0,0,1,,0,1,1,0,0,1,0,0,校内,1,0,1,0,0,助教、科研、实验室助手等?,,,,,,,,进行过,1,0,0,0,1,0,二到四个月,与专业的相关性,学校所在城市,较多联系,,,,,4,5,无所谓,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业之外可以继续保持该兼职,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,有归属感和社交（单位氛围暖心，与同事关系融洽）
95,MgErqYyL,nePPo6ve,cdm****HuGEq,2022-2-17 12:16,2022-2-17 12:21,257,1,NriUJr,大学生兼职调查,112.233.45.206,118.59132,35.120845,山东省,4,MOBILE,Android,weixin,360px*780px,,女,3,7,山东省，临沂市,是,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,寒暑假,500元及以下,非常不满意,1,0,0,0,0,0,忍气吞声，自认倒霉,0,1,1,1,0,1,0,0,校外,,,,,,,0,1,0,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,暂时没有打算,,,,,,,,,,,,,,,3,5,存在较少不公平现象,,,,,,,1,0,1,1,0,0,0,0,有一点帮助,正式职业之外可以继续保持该兼职,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
96,LwPDXa6e,qM6G8387,cdm****voXaj,2022-2-17 12:13,2022-2-17 12:20,406,1,NriUJr,大学生兼职调查,10.92.249.89,114.611768,23.406721,广东省,3,MOBILE,Android,weixin,393px*873px,,女,2,2,广东省，惠州市,是,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,周末,1001?2000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,1,0,0,0,校外,,,,,,,0,1,0,0,1,0,时间短暂来钱快上手快的兼职,准备进行,,,,,,,,,,,二到四个月,与专业的相关性,学校所在城市,较多联系,6,6,存在较少不公平现象,,,,,,,0,1,1,1,0,0,1,0,很有帮助,正式职业不会选择少数做过的兼职,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,满足自我实现需要（激发潜能，实现自己的价值）
97,Mr5nO4ye,nePxK2Ae,cdm****TwlLs,2022-2-17 12:14,2022-2-17 12:20,380,1,NriUJr,大学生兼职调查,223.73.10.191,116.764682,23.465447,广东省,4,MOBILE,Android,weixin,360px*800px,,女,3,2,广东省，广州市,是,,,,,,,,,,,,,,,,,,,,,6,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,周末,3001?5000元,非常不满意,1,0,0,0,0,0,忍气吞声，自认倒霉,0,1,0,1,1,0,0,1,校内,1,0,1,0,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,二到四个月,与专业的相关性,学校所在城市,较多联系,4,5,公平,,,,,,,0,1,1,0,0,0,0,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,满足自我实现需要（激发潜能，实现自己的价值）
98,Mo12aqnL,8MZNE9KM,cdm****vZO5K,2022-2-17 12:13,2022-2-17 12:20,388,1,NriUJr,大学生兼职调查,111.58.168.237,110.309886,24.946741,广西壮族自治区,4,MOBILE,Android,weixin,393px*873px,,女,3,2,广西壮族自治区，桂林市,是,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,寒暑假,501-1000元,非常不满意,0,0,0,0,0,1,,0,0,1,1,1,0,0,0,校外,,,,,,,0,0,1,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,一到二个月,实习条件和薪资待遇,学校所在城市,较多联系,5,5,存在较少不公平现象,,,,,,,0,1,1,1,0,0,0,0,很有帮助,正式职业之外可以继续保持该兼职,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,满足安全需要（工作稳定，很少有焦虑）
99,Lz9lknz7,J7BjRQd7,cdm****qO9wx,2022-2-17 12:13,2022-2-17 12:17,212,1,NriUJr,大学生兼职调查,120.229.139.165,113.8082,23.02334,广东省,2,COMPUTER,Windows,Chrome,1280px*800px,,男,2,3,广西壮族自治区，钦州市,是,,,,,,,,,,,,,,,,,,,,,3,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,节假日,501-1000元,非常不满意,0,0,0,0,0,1,,0,1,1,1,1,0,0,1,校内,1,0,0,1,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,二到四个月,实习条件和薪资待遇,一线城市,较多联系,7,7,存在较少不公平现象,,,,,,,1,1,1,0,0,0,1,0,有一点帮助,正式职业不会选择绝大多数做过的兼职,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,满足安全需要（工作稳定，很少有焦虑）
100,MDPxKylM,G7Xk62OM,丹*朝阳,2022-2-17 12:09,2022-2-17 12:15,393,1,NriUJr,大学生兼职调查,27.27.1.198,111.395707,31.395884,湖北省,4,TABLET,iOS,Apple WebKit,375px*667px,,女,2,5,湖北省，襄阳市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,周末,500元及以下,非常不满意,1,0,0,0,0,0,忍气吞声，自认倒霉,1,1,1,1,1,1,0,0,校内,1,1,1,1,0,助教、科研、实验室助手等?,,,,,,,,进行过,1,0,1,0,0,0,一到二个月,与专业的相关性,学校所在城市,密切密切,,,,,5,4,存在较多不公平现象,1,0,0,1,0,0,0,1,1,1,0,0,0,0,有一点帮助,正式职业希望继续从事兼职做过的职业,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,满足自我实现需要（激发潜能，实现自己的价值）
101,epD4lWZe,aMgWy1JM,cdm****15F8U,2022-2-17 12:13,2022-2-17 12:15,125,1,NriUJr,大学生兼职调查,116.21.145.98,113.560548,22.761313,广东省,1,MOBILE,iOS,Apple WebKit,414px*736px,,女,1,4,广东省，广州市,是,,,,,,,,,,,,,,,,,,,,,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,周末,500元及以下,非常不满意,0,0,1,0,0,0,向相关部门投诉,0,1,1,0,0,1,0,0,校外,,,,,,,1,0,0,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,大于六个月,与专业的相关性,一线城市,较多联系,6,5,存在较少不公平现象,,,,,,,0,1,1,1,0,0,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,满足安全需要（工作稳定，很少有焦虑）
102,e8YA9oBM,27azKqbL,cdm****YeC0Q,2022-2-17 12:07,2022-2-17 12:12,316,1,NriUJr,大学生兼职调查,171.109.168.164,108.827446,23.218437,广西壮族自治区,3,MOBILE,Android,Chrome,360px*780px,,女,3,4,广西壮族自治区，南宁市,是,,,,,,,,,,,,,,,,,,,,,3,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,寒暑假,2001-3000 元,非常不满意,0,1,1,0,0,0,寻求家长、老师帮助,0,0,1,1,1,1,0,1,校外,,,,,,,1,1,1,1,1,0,实习、研发等与专业相关、有一定难度的兼职?,进行过,0,0,1,0,1,0,一到二个月,公司层次和品牌形象,家乡城市,较多联系,,,,,5,6,存在较少不公平现象,,,,,,,1,1,1,1,0,0,1,0,很有帮助,正式职业希望继续从事兼职做过的职业,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,满足自我实现需要（激发潜能，实现自己的价值）
103,M1KA90OL,G7Xo4ArM,cdm****DkuT2,2022-2-17 12:06,2022-2-17 12:10,215,1,NriUJr,大学生兼职调查,117.29.246.165,117.355397,24.233369,福建省,4,MOBILE,Android,weixin,393px*873px,,女,2,6,福建省，福州市,是,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,节假日,501-1000元,非常不满意,0,0,0,0,0,1,,1,0,1,0,0,0,0,1,校内,1,0,0,1,0,助教、科研、实验室助手等?,,,,,,,,准备进行,,,,,,,,,,,一到二个月,实习条件和薪资待遇,学校所在城市,较多联系,5,5,存在较少不公平现象,,,,,,,0,1,1,1,1,0,0,0,有一点帮助,正式职业希望继续从事兼职做过的职业,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,满足安全需要（工作稳定，很少有焦虑）
104,M28A9DkL,o7jJzXm7,好多***?,2022-2-17 12:07,2022-2-17 12:08,74,1,NriUJr,大学生兼职调查,223.73.167.121,110.24485,21.37868,广东省,4,MOBILE,Android,Chrome,393px*873px,,男,3,3,广东省，湛江市,是,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,周末,500元及以下,非常不满意,0,0,1,0,1,0,忍气吞声，自认倒霉,0,0,1,0,1,0,0,0,校外,,,,,,,1,0,0,1,0,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,二到四个月,与专业的相关性,学校所在城市,较少联系,5,2,存在较多不公平现象,0,0,1,0,1,0,0,0,1,0,1,0,1,0,有一点帮助,正式职业不会选择少数做过的兼职,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,有归属感和社交（单位氛围暖心，与同事关系融洽）
107,MgErqRlL,DMxwgbme,cdm****7Wk0h,2022-2-17 12:01,2022-2-17 12:04,187,1,NriUJr,大学生兼职调查,1.196.205.119,115.3845643,31.8096609,河南省,4,MOBILE,iOS,weixin,414px*896px,,女,1,8,河南省，信阳市,是,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,周末,1001?2000元,非常不满意,0,0,0,0,0,1,,0,1,1,0,0,0,0,1,校外,,,,,,,0,0,0,0,1,0,时间短暂来钱快上手快的兼职,暂时没有打算,,,,,,,,,,,,,,,4,5,无所谓,,,,,,,0,1,1,1,0,0,0,0,基本没有帮助,,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,受到尊重（工作体面有尊严
108,Mr5nOwpe,pLz3Kw1e,cdm****yPXh4,2022-2-17 12:01,2022-2-17 12:04,189,1,NriUJr,大学生兼职调查,42.90.204.214,103.134233,36.96701,甘肃省,6,MOBILE,Android,weixin,360px*780px,,男,2,3,甘肃省，兰州市,是,,,,,,,,,,,,,,,,,,,,,3,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,寒暑假,2001-3000 元,非常不满意,1,0,1,1,0,0,向相关部门投诉,0,1,1,1,0,1,0,1,校外,,,,,,,0,1,0,0,1,0,实习、研发等与专业相关、有一定难度的兼职?,准备进行,,,,,,,,,,,大于六个月,与专业的相关性,一线城市,密切密切,7,7,公平,,,,,,,1,1,1,1,0,1,0,0,很有帮助,正式职业希望继续从事兼职做过的职业,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,满足自我实现需要（激发潜能，实现自己的价值）
